#  column 1:  time
#  column 2:  oberved magnitude
#  column 3:  error in observed magnitude
#  column 4:  Flag:  0=OK  1=Invalid S/K-correction
0.00  17.100  0.100  0
2.00  16.800  0.100  0
3.00  16.900  0.100  0
6.00  17.000  0.100  0
9.00  17.000  0.100  0
10.00  17.100  0.100  0
16.00  17.300  0.200  0
22.00  17.500  0.200  0
27.00  17.800  0.100  0
28.00  18.200  0.400  0
